,nombre_estacion,stop_lat,stop_lon,primera_estacion,segunda_estacion,tercera_estacion,cuarta_estacion
142,Santa Marta,19.359804,-98.99589399999999,Metro A,Ninguna,Ninguna,Ninguna
143,Auditorio,19.42530549,-99.19173717,Metro 7,Ninguna,Ninguna,Ninguna
144,Aculco,19.37292574,-99.10739779,Metro 8,Ninguna,Ninguna,Ninguna
145,Pino Suárez_1,19.42543703,-99.13303971,Metro 2,Metro 1,Ninguna,Ninguna
146,Terminal Aérea,19.43380448,-99.08820391,Metro 5,Ninguna,Ninguna,Ninguna
147,Sevilla,19.42189565,-99.17074084,Metro 1,Ninguna,Ninguna,Ninguna
148,Tepito,19.44256606,-99.12323356,Metro B,Ninguna,Ninguna,Ninguna
149,El Rosario_1_2,19.503954699999998,-99.20029879,Metro 7,Metro 6,Ninguna,Ninguna
150,Guerrero_1_3,19.44475133,-99.14501309,Metro 3,Metro B,Ninguna,Ninguna
151,Fray Servando,19.42149092,-99.12033677,Metro 4,Ninguna,Ninguna,Ninguna
152,Indios Verdes_1,19.495314999999998,-99.119141,Metro 3,Ninguna,Ninguna,Ninguna
153,Ermita_1,19.36030391,-99.1448307,Metro 12,Ninguna,Ninguna,Ninguna
154,Eugenia,19.38628539,-99.15724397,Metro 3,Ninguna,Ninguna,Ninguna
155,Parque de los Venados,19.37046623,-99.15766239,Metro 12,Ninguna,Ninguna,Ninguna
156,Patriotismo_1_2,19.40559422,-99.1784656,Metro 9,Ninguna,Ninguna,Ninguna
157,Misterios,19.46290002,-99.13051844,Metro 5,Ninguna,Ninguna,Ninguna
158,Observatorio,19.397485999999997,-99.20066899999999,Metro 1,Ninguna,Ninguna,Ninguna
159,Lomas Estrella,19.322001999999998,-99.096696,Metro 12,Ninguna,Ninguna,Ninguna
160,La Paz,19.35048513,-98.96061659,Metro A,Ninguna,Ninguna,Ninguna
161,Tlatelolco_1,19.45520174,-99.1430819,Metro 3,Ninguna,Ninguna,Ninguna
162,La Viga_1,19.406106,-99.125973,Metro 8,Ninguna,Ninguna,Ninguna
163,Popotla,19.45261196,-99.17546153,Metro 2,Ninguna,Ninguna,Ninguna
164,Periférico Ote,19.317492,-99.07471899999999,Metro 12,Ninguna,Ninguna,Ninguna
165,Olivos,19.30328601,-99.05831337,Metro 12,Ninguna,Ninguna,Ninguna
166,San Lázaro_1_5,19.43079953,-99.11457539,Metro 1,Metro B,Ninguna,Ninguna
167,San Lázaro_1_4,19.431822,-99.114463,Metro B,Metro 1,Ninguna,Ninguna
168,Zapotitlán,19.29639028,-99.03402328,Metro 12,Ninguna,Ninguna,Ninguna
169,Tláhuac,19.28680057,-99.01443243,Metro 12,Ninguna,Ninguna,Ninguna
170,Hidalgo_1_2,19.4376997,-99.14730906,Metro 2,Metro 3,Ninguna,Ninguna
171,Atlalilco,19.35570839,-99.10157204,Metro 8,Metro 1,Ninguna,Ninguna
172,Candelaria_1,19.42917056,-99.11890984,Metro 4,Metro 1,Ninguna,Ninguna
173,Aquiles Serdán,19.489367,-99.194511,Metro 7,Ninguna,Ninguna,Ninguna
174,Ciudad Azteca,19.53444312,-99.02711391,Metro B,Ninguna,Ninguna,Ninguna
